Date,Close/Last
05/11/2022,81.33
05/10/2022,93.50
05/09/2022,98.79
05/06/2022,114.70
05/05/2022,119.13
05/04/2022,127.08
05/03/2022,120.43
05/02/2022,119.57
04/29/2022,125.07
04/28/2022,129.31
04/27/2022,129.84
04/26/2022,127.60
04/25/2022,135.95
04/22/2022,138.22
04/21/2022,141.56
04/20/2022,148.85
04/19/2022,152.47
04/18/2022,141.46
04/14/2022,150.77
04/13/2022,150.70
04/12/2022,144.87
04/11/2022,146.93
04/08/2022,146.19
04/07/2022,150.00
04/06/2022,156.64
04/05/2022,153.59
04/04/2022,170.73
04/01/2022,165.00
03/31/2022,166.58
03/30/2022,166.85
03/29/2022,179.90
03/28/2022,189.59
03/25/2022,151.95
03/24/2022,142.39
03/23/2022,141.00
03/22/2022,123.14
03/21/2022,94.20
03/18/2022,90.79
03/17/2022,87.70
03/16/2022,86.86
03/15/2022,82.64
03/14/2022,78.11
03/11/2022,92.69
03/10/2022,100.56
03/09/2022,105.21
03/08/2022,103.01
03/07/2022,99.35
03/04/2022,111.66
03/03/2022,118.41
03/02/2022,121.97
03/01/2022,119.02
02/28/2022,123.34
02/25/2022,118.58
02/24/2022,124.58
02/23/2022,114.87
02/22/2022,118.06
02/18/2022,121.53
02/17/2022,123.41
02/16/2022,128.33
02/15/2022,126.16
02/14/2022,117.09
02/11/2022,124.25
02/10/2022,122.47
02/09/2022,124.29
02/08/2022,115.60
02/07/2022,102.34
02/04/2022,102.34
02/03/2022,99.23
02/02/2022,100.04
02/01/2022,112.60
01/31/2022,108.93
01/28/2022,97.91
01/27/2022,93.52
01/26/2022,103.26
01/25/2022,99.79
01/24/2022,100.15
01/21/2022,106.36
01/20/2022,102.67
01/19/2022,106.57
01/18/2022,108.91
01/14/2022,116.65
01/13/2022,122.48
01/12/2022,128.06
01/11/2022,130.30
01/10/2022,131.15
01/07/2022,140.62
01/06/2022,131.03
01/05/2022,129.37
01/04/2022,148.91
01/03/2022,152.84
12/31/2021,148.39
12/30/2021,155.33
12/29/2021,153.93
12/28/2021,146.46
12/27/2021,148.31
12/23/2021,152.14
12/22/2021,154.00
12/21/2021,158.12
12/20/2021,157.14
12/17/2021,155.64
12/16/2021,144.59
12/15/2021,148.59
12/14/2021,147.69
12/13/2021,136.88
12/10/2021,159.01
12/09/2021,155.76
12/08/2021,173.65
12/07/2021,177.81
12/06/2021,167.12
12/03/2021,172.39
12/02/2021,181.56
12/01/2021,179.84
11/30/2021,196.21
11/29/2021,202.01
11/26/2021,199.72
11/24/2021,211.78
11/23/2021,213.90
11/22/2021,247.55
11/19/2021,228.80
11/18/2021,210.12
11/17/2021,210.00
11/16/2021,207.18
11/15/2021,209.14
11/12/2021,202.10
11/11/2021,204.32
11/10/2021,199.19
11/09/2021,206.60
11/08/2021,218.64
11/05/2021,213.25
11/04/2021,217.84
11/03/2021,218.33
11/02/2021,206.99
11/01/2021,200.09
10/29/2021,183.51
10/28/2021,182.85
10/27/2021,173.51
10/26/2021,177.84
10/25/2021,173.97
10/22/2021,169.80
10/21/2021,181.71
10/20/2021,184.52
10/19/2021,186.79
10/18/2021,186.02
10/15/2021,183.28
10/14/2021,183.83
10/13/2021,184.06
10/12/2021,175.82
10/11/2021,178.10
10/08/2021,172.68
10/07/2021,172.12
10/06/2021,171.07
10/05/2021,172.18
10/04/2021,171.36
10/01/2021,176.91
09/30/2021,175.47
09/29/2021,175.92
09/28/2021,178.60
09/27/2021,189.48
09/24/2021,185.16
09/23/2021,191.24
09/22/2021,190.14
09/21/2021,189.95
09/20/2021,192.20
09/17/2021,204.97
09/16/2021,206.37
09/15/2021,204.52
09/14/2021,199.24
09/13/2021,203.40
09/10/2021,190.41
09/09/2021,199.18
09/08/2021,198.80
09/07/2021,199.00
09/03/2021,202.75
09/02/2021,213.52
09/01/2021,212.97
08/31/2021,218.24
08/30/2021,209.20
08/27/2021,204.95
08/26/2021,205.22
08/25/2021,199.65
08/24/2021,210.29
08/23/2021,164.89
08/20/2021,159.30
08/19/2021,152.90
08/18/2021,157.05
08/17/2021,163.55
08/16/2021,163.93
08/13/2021,162.52
08/12/2021,162.35
08/11/2021,158.78
08/10/2021,159.05
08/09/2021,161.13
08/06/2021,151.77
08/05/2021,153.44
08/04/2021,146.80
08/03/2021,152.75
08/02/2021,157.65
07/30/2021,161.12
07/29/2021,164.86
07/28/2021,169.12
07/27/2021,178.54
07/26/2021,183.94
07/23/2021,180.36
07/22/2021,178.85
07/21/2021,185.81
07/20/2021,191.18
07/19/2021,173.49
07/16/2021,169.04
07/15/2021,166.82
07/14/2021,167.62
07/13/2021,180.06
07/12/2021,189.25
07/09/2021,191.23
07/08/2021,191.38
07/07/2021,190.66
07/06/2021,199.56
07/02/2021,202.83
07/01/2021,204.36
06/30/2021,214.14
06/29/2021,210.88
06/28/2021,213.25
06/25/2021,209.51
06/24/2021,212.31
06/23/2021,219.34
06/22/2021,220.40
06/21/2021,200.37
06/18/2021,213.82
06/17/2021,223.59
06/16/2021,222.97
06/15/2021,222.50
06/14/2021,229.44
06/11/2021,233.34
06/10/2021,220.39
06/09/2021,302.56
06/08/2021,300.00
06/07/2021,280.01
06/04/2021,248.36
06/03/2021,258.18
06/02/2021,282.24
06/01/2021,249.02
05/28/2021,222.00
05/27/2021,254.13
05/26/2021,242.56
05/25/2021,209.43
05/24/2021,180.01
05/21/2021,176.79
05/20/2021,170.49
05/19/2021,168.83
05/18/2021,180.67
05/17/2021,180.60
05/14/2021,159.92
05/13/2021,164.50
05/12/2021,144.79
